"","min","max","mean","sd","range","sum","zeroes"
"1",2.26313776607867e-08,0.00316373724490404,1.60770787602691e-05,8.37271409167292e-05,0.00316371461352638,NA,NA
"2",2.50013183489273e-08,0.00453811744228005,2.0379952653751e-05,9.7127535179361e-05,0.00453809244096171,NA,NA
"3",2.07848938060806e-08,0.005842549726367,2.79851484358663e-05,0.000139927264425297,0.00584252894147319,NA,NA
"4",2.20337081913158e-08,0.00461700186133385,4.51757502431143e-05,0.000187640744373199,0.00461697982762566,NA,NA
"5",2.14198063730464e-08,0.00850332342088223,4.14109168602091e-05,0.000201365143846064,0.00850330200107585,NA,NA
"6",1.7444172328851e-08,0.0158293433487415,6.2439040542147e-05,0.000322461639495592,0.0158293259045692,NA,NA
"7",1.55641437515897e-08,0.0106443651020527,4.9717003054905e-05,0.00026237346363244,0.0106443495379089,NA,NA
"8",1.44579690442015e-08,0.00999295245856047,4.47094011101729e-05,0.000243328867776191,0.00999293800059142,NA,NA
"9",1.35090392205939e-08,0.0078505277633667,3.39667187758796e-05,0.000177094207547306,0.00785051425432748,NA,NA
"10",1.5446596890456e-08,0.00511651625856757,1.97915290117297e-05,9.9556605311436e-05,0.00511650081197068,NA,NA
"11",0,0.984601736068726,0.363523609511378,0.190041508153033,0.984601736068726,NA,NA
"12",0,0.98501068353653,0.372799876506013,0.180204613041756,0.98501068353653,NA,NA
"13",0,0.952785730361938,0.384293793479095,0.179723117227639,0.952785730361938,NA,NA
"14",8.06439929874614e-05,0.949851095676422,0.38553699983831,0.154646353769832,0.949770451683435,NA,NA
"15",0.00114780885633081,0.916209697723389,0.390030040104465,0.155027168020682,0.915061888867058,NA,NA
"16",0,0.997128307819366,0.377297718620468,0.166057409658551,0.997128307819366,NA,NA
"17",0,0.968308866024017,0.394969185700841,0.192684488467634,0.968308866024017,NA,NA
"18",0,0.982458174228668,0.367273365637616,0.19475144401889,0.982458174228668,NA,NA
"19",0,0.998354613780975,0.379764540412045,0.173553632981665,0.998354613780975,NA,NA
"20",3.45827284036204e-05,0.976922571659088,0.380085426090779,0.16021169413258,0.976887988930685,NA,NA
"21",-263.893615722656,51773.83203125,3745.93749639767,8236.25211501699,52037.7256469727,NA,NA
"22",-263.893615722656,51773.83203125,3745.93749639767,8236.25211501699,52037.7256469727,NA,NA
"23",-263.893615722656,51773.83203125,3745.93749639767,8236.25211501699,52037.7256469727,NA,NA
"24",-263.893615722656,51773.83203125,3745.93749639767,8236.25211501699,52037.7256469727,NA,NA
"25",-263.893615722656,51773.83203125,3745.93749639767,8236.25211501699,52037.7256469727,NA,NA
"26",-263.893615722656,51773.83203125,3745.93749639767,8236.25211501699,52037.7256469727,NA,NA
"27",-263.893615722656,51773.83203125,3745.93749639767,8236.25211501699,52037.7256469727,NA,NA
"28",-263.893615722656,51773.83203125,3745.93749639767,8236.25211501699,52037.7256469727,NA,NA
"29",-263.893615722656,51773.83203125,3745.93749639767,8236.25211501699,52037.7256469727,NA,NA
"30",-263.893615722656,51773.83203125,3745.93749639767,8236.25211501699,52037.7256469727,NA,NA
